City,County,Year,Median_List_Rent,Median_List_Rent_IA,Median_List_Rent_PercentChg_1994,Median_List_Rent_IA_PercentChg_1994,Source
San Bruno,San Mateo County,2010,1669,1898,0.9756,0.2915,real Answers
Dixon,Solano County,2011,1034,1146,,,real Answers
San Ramon,Contra Costa County,2013,1856,1958,0.8910,0.1476,real Answers
San Ramon,Contra Costa County,2000,1607,2305,0.6373,0.3511,real Answers
Martinez,Contra Costa County,2009,1162,1339,0.6325,0.0818,real Answers
Martinez,Contra Costa County,1995,716,1222,0.0061,-0.0131,real Answers
Richmond,Contra Costa County,2007,1138,1361,0.5320,0.0544,real Answers
Pleasanton,Alameda County,2010,1484,1687,0.8020,0.1780,real Answers
Fairfield,Solano County,2007,1209,1447,0.8272,0.2576,real Answers
Danville,Contra Costa County,1994,780,1356,0.0000,0.0000,real Answers
Novato,Marin County,1996,854,1423,0.0807,0.0361,real Answers
San Leandro,Alameda County,2015,1539,1539,1.1982,0.2642,real Answers
Walnut Creek,Contra Costa County,1995,784,1337,0.0105,-0.0089,real Answers
Martinez,Contra Costa County,2001,1243,1692,0.7454,0.3667,real Answers
Los Altos,Santa Clara County,2011,1653,1831,0.4624,-0.0683,real Answers
Hercules,Contra Costa County,1999,768,1150,0.0407,-0.1029,real Answers
Rohnert Park,Sonoma County,1999,963,1443,0.3556,0.1686,real Answers
Sausalito,Marin County,2002,1511,2024,0.5533,0.1968,real Answers
East Palo Alto,San Mateo County,2007,825,987,0.3189,-0.0922,real Answers
Newark,Alameda County,1995,799,1362,0.0407,0.0208,real Answers
Sausalito,Marin County,2006,1690,2089,0.7378,0.2352,real Answers
Berkeley,Alameda County,2008,2200,2553,,,real Answers
Fremont,Alameda County,2003,1189,1565,0.6382,0.2404,real Answers
East Palo Alto,San Mateo County,2010,891,1013,0.4249,-0.0685,real Answers
Menlo Park,San Mateo County,2013,3425,3614,,,real Answers
Gilroy,Santa Clara County,1997,938,1512,0.3402,0.2424,real Answers
Martinez,Contra Costa County,2005,1093,1394,0.5347,0.1258,real Answers
Sausalito,Marin County,2001,1736,2364,0.7853,0.3980,real Answers
South San Francisco,San Mateo County,1999,998,1495,0.4509,0.2507,real Answers
Martinez,Contra Costa County,2002,1138,1524,0.5979,0.2311,real Answers
Colma,San Mateo County,2010,2153,2447,,,real Answers
Redwood City,San Mateo County,2000,2228,3196,1.3447,0.9349,real Answers
Novato,Marin County,1994,790,1374,0.0000,0.0000,real Answers
Foster City,San Mateo County,1998,1433,2239,0.4385,0.2925,real Answers
Corte Madera,Marin County,2004,2000,2601,0.5311,0.1452,real Answers
Pittsburg,Contra Costa County,2007,1082,1295,0.6580,0.1412,real Answers
Dixon,Solano County,2010,1062,1208,,,real Answers
Mountain View,Santa Clara County,2011,1736,1923,1.2110,0.4087,real Answers
Burlingame,San Mateo County,1996,1263,2105,0.0632,0.0193,real Answers
Pinole,Contra Costa County,2010,1162,1321,0.7470,0.1420,real Answers
Richmond,Contra Costa County,1994,743,1291,0.0000,0.0000,real Answers
Oakland,Alameda County,2010,1458,1657,1.3609,0.5434,real Answers
Pacifica,San Mateo County,1995,826,1408,-0.0079,-0.0269,real Answers
Livermore,Alameda County,2007,1253,1500,0.6327,0.1238,real Answers
South San Francisco,San Mateo County,1998,950,1484,0.3818,0.2415,real Answers
Redwood City,San Mateo County,2002,1549,2076,0.6309,0.2566,real Answers
Mill Valley,Marin County,1998,1056,1650,0.2246,0.1003,real Answers
Pacifica,San Mateo County,1997,1136,1831,0.3646,0.2651,real Answers
Sonoma,Sonoma County,2007,1462,1750,0.7199,0.1837,real Answers
Dublin,Alameda County,2000,1853,2658,0.6937,0.3976,real Answers
Vacaville,Solano County,2004,1043,1356,0.6337,0.2220,real Answers
San Rafael,Marin County,1997,1044,1683,0.1852,0.0988,real Answers
Sausalito,Marin County,2010,1688,1918,0.7352,0.1343,real Answers
Concord,Contra Costa County,1995,650,1109,-0.0010,-0.0201,real Answers
Hayward,Alameda County,2005,1139,1453,0.4959,0.0974,real Answers
Vallejo,Solano County,2011,1050,1163,0.5968,0.0174,real Answers
Mountain View,Santa Clara County,2006,1376,1700,0.7522,0.2455,real Answers
Suisun City,Solano County,2004,1073,1395,0.5889,0.1885,real Answers
Fairfield,Solano County,2014,1270,1303,0.9192,0.1325,real Answers
Morgan Hill,Santa Clara County,2013,1834,1935,1.2639,0.3739,real Answers
Benicia,Solano County,1996,702,1170,0.0135,-0.0283,real Answers
Sonoma,Sonoma County,1995,884,1507,0.0397,0.0198,real Answers
Brentwood,Contra Costa County,2012,1520,1640,,,real Answers
Belmont,San Mateo County,2015,2321,2321,2.3878,0.9482,real Answers
Antioch,Contra Costa County,2006,991,1225,0.6722,0.1886,real Answers
Millbrae,San Mateo County,2004,1750,2276,0.7588,0.3156,real Answers
Rohnert Park,Sonoma County,2003,1081,1424,0.5229,0.1530,real Answers
Pittsburg,Contra Costa County,2015,1583,1583,1.4259,0.3951,real Answers
Palo Alto,Santa Clara County,2003,1291,1700,0.4924,0.1299,real Answers
Los Altos,Santa Clara County,1997,1291,2082,0.1427,0.0593,real Answers
Berkeley,Alameda County,2015,2961,2961,,,real Answers
South San Francisco,San Mateo County,2014,2428,2491,2.5313,1.0839,real Answers
Emeryville,Alameda County,2014,2480,2544,,,real Answers
Lafayette,Contra Costa County,2004,1336,1738,0.2856,-0.0384,real Answers
San Leandro,Alameda County,1997,804,1297,0.1491,0.0653,real Answers
El Cerrito,Contra Costa County,2001,1323,1801,0.6378,0.2824,real Answers
Napa,Napa County,1998,643,1004,,,real Answers
El Cerrito,Contra Costa County,2006,1258,1554,0.5573,0.1069,real Answers
Mill Valley,Marin County,2010,1660,1887,0.9246,0.2582,real Answers
Pleasanton,Alameda County,2005,1258,1604,0.5266,0.1199,real Answers
Pacifica,San Mateo County,1996,944,1574,0.1348,0.0880,real Answers
Fremont,Alameda County,2013,1727,1822,1.3795,0.4441,real Answers
Tiburon,Marin County,2009,2126,2450,0.5422,0.0219,real Answers
El Cerrito,Contra Costa County,2015,2353,2353,1.9141,0.6758,real Answers
Tiburon,Marin County,1995,1444,2462,0.0471,0.0271,real Answers
Foster City,San Mateo County,1999,1501,2250,0.5069,0.2990,real Answers
El Cerrito,Contra Costa County,1995,810,1382,0.0031,-0.0161,real Answers
East Palo Alto,San Mateo County,2006,841,1039,0.3439,-0.0447,real Answers
Tiburon,Marin County,2013,2778,2931,1.0145,0.2226,real Answers
Daly City,San Mateo County,2006,1356,1676,0.8579,0.3206,real Answers
Larkspur,Marin County,2000,2665,3823,0.7080,0.4094,real Answers
Mountain View,Santa Clara County,2002,1356,1816,0.7269,0.3305,real Answers
Gilroy,Santa Clara County,2013,1662,1754,1.3741,0.4408,real Answers
Mountain View,Santa Clara County,2015,2679,2679,2.4126,0.9625,real Answers
Newark,Alameda County,1994,768,1335,0.0000,0.0000,real Answers
Santa Rosa,Sonoma County,1999,955,1432,0.3264,0.1434,real Answers
Millbrae,San Mateo County,2006,1823,2253,0.8317,0.3019,real Answers
Concord,Contra Costa County,2014,1364,1400,1.0965,0.2372,real Answers
Vacaville,Solano County,2011,1086,1203,0.7013,0.0839,real Answers
Pacifica,San Mateo County,2013,2011,2122,1.4161,0.4663,real Answers
Danville,Contra Costa County,2004,1225,1593,0.5705,0.1747,real Answers
Danville,Contra Costa County,2005,1231,1571,0.5785,0.1580,real Answers
Santa Clara,Santa Clara County,2011,1804,1999,1.0690,0.3182,real Answers
Larkspur,Marin County,1994,1560,2713,0.0000,0.0000,real Answers
Santa Rosa,Sonoma County,1996,738,1230,0.0243,-0.0180,real Answers
Fairfield,Solano County,2013,1191,1257,0.7992,0.0919,real Answers
Mountain View,Santa Clara County,2005,1251,1596,0.5939,0.1693,real Answers
Daly City,San Mateo County,2013,1913,2019,1.6205,0.5904,real Answers
Mill Valley,Marin County,2005,1345,1716,0.5594,0.1440,real Answers
Petaluma,Sonoma County,2002,1284,1720,0.7707,0.3643,real Answers
Palo Alto,Santa Clara County,2006,1725,2132,0.9942,0.4175,real Answers
Mill Valley,Marin County,2008,1609,1868,0.8659,0.2455,real Answers
Burlingame,San Mateo County,2001,1881,2562,0.5842,0.2405,real Answers
San Francisco,San Francisco County,1994,921,1601,0.0000,0.0000,real Answers
Oakland,Alameda County,1996,629,1048,0.0182,-0.0238,real Answers
Los Gatos,Santa Clara County,2000,1675,2403,0.8873,0.5574,real Answers
Menlo Park,San Mateo County,2014,3373,3461,,,real Answers
Colma,San Mateo County,2012,2596,2801,,,real Answers
Pacifica,San Mateo County,2009,1597,1840,0.9189,0.2716,real Answers
Emeryville,Alameda County,2006,1782,2202,,,real Answers
Pinole,Contra Costa County,2015,1901,1901,1.8583,0.6437,real Answers
Santa Rosa,Sonoma County,1994,720,1252,0.0000,0.0000,real Answers
Santa Clara,Santa Clara County,1994,872,1516,0.0000,0.0000,real Answers
Newark,Alameda County,2000,1410,2023,0.8371,0.5160,real Answers
Belmont,San Mateo County,2004,1075,1398,0.5693,0.1738,real Answers
San Jose,Santa Clara County,2011,1597,1770,1.0478,0.3047,real Answers
Tiburon,Marin County,1999,2182,3271,0.5825,0.3642,real Answers
San Rafael,Marin County,2009,1541,1775,0.7493,0.1592,real Answers
Sunnyvale,Santa Clara County,2007,1516,1814,0.7506,0.2049,real Answers
Pleasant Hill,Contra Costa County,2006,1341,1657,0.7359,0.2339,real Answers
Mill Valley,Marin County,2012,1718,1853,0.9913,0.2356,real Answers
Antioch,Contra Costa County,1996,621,1036,0.0485,0.0053,real Answers
Brentwood,Contra Costa County,2013,1710,1805,,,real Answers
San Pablo,Contra Costa County,2009,1051,1211,,,real Answers
Morgan Hill,Santa Clara County,2000,1471,2110,0.8156,0.4982,real Answers
Pinole,Contra Costa County,1995,659,1124,-0.0094,-0.0283,real Answers
Alameda,Alameda County,2001,1481,2016,0.8267,0.4304,real Answers
Campbell,Santa Clara County,2004,1116,1451,0.4852,0.1109,real Answers
Mountain View,Santa Clara County,1994,785,1365,0.0000,0.0000,real Answers
Dublin,Alameda County,2003,1591,2095,0.4549,0.1015,real Answers
Millbrae,San Mateo County,2001,1750,2383,0.7588,0.3772,real Answers
Pinole,Contra Costa County,2001,1163,1583,0.7481,0.3689,real Answers
Vacaville,Solano County,1995,651,1111,0.0206,0.0010,real Answers
Pleasant Hill,Contra Costa County,2001,1466,1996,0.8981,0.4863,real Answers
Pittsburg,Contra Costa County,2005,1065,1359,0.6326,0.1976,real Answers
Pinole,Contra Costa County,2007,1288,1542,0.9368,0.3331,real Answers
Hayward,Alameda County,2008,1197,1389,0.5722,0.0495,real Answers
Newark,Alameda County,1997,944,1522,0.2305,0.1407,real Answers
Pacifica,San Mateo County,1999,1317,1974,0.5824,0.3641,real Answers
Mill Valley,Marin County,1997,947,1526,0.0978,0.0177,real Answers
Mountain View,Santa Clara County,2012,1979,2135,1.5209,0.5642,real Answers
San Francisco,San Francisco County,1998,1415,2211,0.5370,0.3810,real Answers
Vacaville,Solano County,2010,1060,1205,0.6617,0.0863,real Answers
Concord,Contra Costa County,2005,997,1272,0.5326,0.1243,real Answers
Emeryville,Alameda County,2013,2323,2451,,,real Answers
Campbell,Santa Clara County,2013,1783,1882,1.3739,0.4407,real Answers
Danville,Contra Costa County,2013,1742,1838,1.2329,0.3551,real Answers
Tiburon,Marin County,2002,2025,2713,0.4687,0.1316,real Answers
Pacifica,San Mateo County,2008,1665,1933,1.0008,0.3355,real Answers
Petaluma,Sonoma County,2008,1263,1465,0.7414,0.1624,real Answers
Sonoma,Sonoma County,2002,1443,1933,0.6971,0.3075,real Answers
Pinole,Contra Costa County,2013,1303,1375,0.9586,0.1887,real Answers
San Leandro,Alameda County,2007,1034,1237,0.4768,0.0164,real Answers
Petaluma,Sonoma County,2004,1405,1827,0.9379,0.4495,real Answers
Burlingame,San Mateo County,1994,1188,2065,0.0000,0.0000,real Answers
San Leandro,Alameda County,2002,1113,1491,0.5902,0.2252,real Answers
Milpitas,Santa Clara County,2008,1608,1867,0.9059,0.2722,real Answers
Fremont,Alameda County,2014,1970,2021,1.7147,0.6020,real Answers
Suisun City,Solano County,1996,726,1211,0.0759,0.0315,real Answers
Richmond,Contra Costa County,2012,1142,1232,0.5377,-0.0459,real Answers
Sausalito,Marin County,2000,1489,2136,0.5308,0.2632,real Answers
Suisun City,Solano County,1995,699,1192,0.0352,0.0154,real Answers
San Mateo,San Mateo County,2003,1256,1654,0.3900,0.0524,real Answers
Antioch,Contra Costa County,2001,935,1273,0.5781,0.2357,real Answers
Cupertino,Santa Clara County,2015,3065,3065,2.3501,0.9266,real Answers
Sunnyvale,Santa Clara County,2013,1996,2106,1.3052,0.3990,real Answers
Concord,Contra Costa County,1999,869,1303,0.3362,0.1519,real Answers
Livermore,Alameda County,2009,1281,1476,0.6692,0.1061,real Answers
Albany,Alameda County,1994,813,1413,0.0000,0.0000,real Answers
Pittsburg,Contra Costa County,1996,673,1121,0.0307,-0.0119,real Answers
Campbell,Santa Clara County,2014,1961,2013,1.6106,0.5406,real Answers
Albany,Alameda County,2005,1250,1595,0.5385,0.1286,real Answers
Millbrae,San Mateo County,2008,2208,2562,1.2186,0.4809,real Answers
Fairfield,Solano County,2002,1024,1372,0.5477,0.1924,real Answers
Pacifica,San Mateo County,2012,1927,2080,1.3160,0.4371,real Answers
San Rafael,Marin County,2001,1435,1954,0.6298,0.2762,real Answers
Lafayette,Contra Costa County,2005,1415,1805,0.3614,-0.0013,real Answers
San Mateo,San Mateo County,2004,1294,1683,0.4315,0.0708,real Answers
Berkeley,Alameda County,2014,2784,2857,,,real Answers
Pacifica,San Mateo County,2003,1367,1800,0.6425,0.2436,real Answers
Pleasanton,Alameda County,2015,2347,2347,1.8487,0.6382,real Answers
Sunnyvale,Santa Clara County,2014,2249,2307,1.5972,0.5326,real Answers
Campbell,Santa Clara County,2011,1510,1673,1.0100,0.2806,real Answers
San Mateo,San Mateo County,2013,2327,2456,1.5747,0.5625,real Answers
Sunnyvale,Santa Clara County,1996,1117,1862,0.2901,0.2368,real Answers
Colma,San Mateo County,2007,2317,2773,,,real Answers
Tiburon,Marin County,2005,1921,2450,0.3930,0.0219,real Answers
Sunnyvale,Santa Clara County,1994,866,1505,0.0000,0.0000,real Answers
Campbell,Santa Clara County,2015,2225,2225,1.9614,0.7030,real Answers
Sonoma,Sonoma County,2012,1550,1672,0.8235,0.1315,real Answers
Hercules,Contra Costa County,1998,760,1187,0.0305,-0.0741,real Answers
East Palo Alto,San Mateo County,2014,1401,1438,1.2398,0.3217,real Answers
Belmont,San Mateo County,2009,1387,1599,1.0254,0.3422,real Answers
Dublin,Alameda County,2001,1805,2458,0.6503,0.2922,real Answers
Napa,Napa County,2010,1260,1432,,,real Answers
Pittsburg,Contra Costa County,2010,1048,1191,0.6063,0.0501,real Answers
San Bruno,San Mateo County,2009,1649,1901,0.9519,0.2935,real Answers
Santa Rosa,Sonoma County,2008,1149,1333,0.5951,0.0648,real Answers
Millbrae,San Mateo County,1998,1400,2187,0.4070,0.2642,real Answers
Fremont,Alameda County,1996,851,1419,0.1731,0.1247,real Answers
San Leandro,Alameda County,1999,919,1377,0.3125,0.1314,real Answers
Hayward,Alameda County,2004,1118,1453,0.4680,0.0980,real Answers
San Mateo,San Mateo County,1994,904,1572,0.0000,0.0000,real Answers
Richmond,Contra Costa County,2010,1070,1216,0.4404,-0.0584,real Answers
Oakland,Alameda County,1994,618,1074,0.0000,0.0000,real Answers
Hercules,Contra Costa County,1994,738,1282,0.0000,0.0000,real Answers
Vacaville,Solano County,2009,1104,1273,0.7307,0.1469,real Answers
Livermore,Alameda County,2013,1597,1685,1.0809,0.2629,real Answers
Dublin,Alameda County,2004,1579,2054,0.4440,0.0801,real Answers
Albany,Alameda County,2015,1975,1975,1.4308,0.3979,real Answers
Livermore,Alameda County,2004,1094,1423,0.4259,0.0666,real Answers
Cupertino,Santa Clara County,2010,1880,2137,1.0542,0.3429,real Answers
El Cerrito,Contra Costa County,2003,1323,1741,0.6378,0.2400,real Answers
San Jose,Santa Clara County,1996,947,1579,0.2139,0.1639,real Answers
Alameda,Alameda County,2010,1352,1537,0.6682,0.0905,real Answers
Dublin,Alameda County,2014,2209,2267,1.0200,0.1920,real Answers
Lafayette,Contra Costa County,2013,2492,2630,1.3974,0.4549,real Answers
Milpitas,Santa Clara County,2015,2493,2493,1.9542,0.6989,real Answers
Mountain View,Santa Clara County,2008,1653,1918,1.1051,0.4052,real Answers
Gilroy,Santa Clara County,2006,1250,1545,0.7857,0.2693,real Answers
Newark,Alameda County,2004,1100,1431,0.4332,0.0720,real Answers
Larkspur,Marin County,2001,2637,3591,0.6905,0.3238,real Answers
Palo Alto,Santa Clara County,2013,2771,2924,2.2036,0.9442,real Answers
Martinez,Contra Costa County,2013,1408,1486,0.9779,0.2003,real Answers
Hercules,Contra Costa County,2009,1100,1268,0.4915,-0.0116,real Answers
Berkeley,Alameda County,2006,1656,2047,,,real Answers
Petaluma,Sonoma County,1999,1078,1615,0.4862,0.2812,real Answers
Corte Madera,Marin County,2010,1789,2033,0.3694,-0.1048,real Answers
Mill Valley,Marin County,1999,1253,1878,0.4525,0.2521,real Answers
Belmont,San Mateo County,1995,708,1207,0.0328,0.0131,real Answers
Benicia,Solano County,2013,1387,1463,1.0023,0.2152,real Answers
Albany,Alameda County,2004,1244,1618,0.5308,0.1450,real Answers
Dublin,Alameda County,2009,1618,1864,0.4789,-0.0200,real Answers
Hayward,Alameda County,2015,1806,1806,1.3722,0.3642,real Answers
Redwood City,San Mateo County,2004,1443,1876,0.5184,0.1358,real Answers
El Cerrito,Contra Costa County,2000,1223,1754,0.5139,0.2493,real Answers
Menlo Park,San Mateo County,2012,3316,3578,,,real Answers
Mountain View,Santa Clara County,2013,2163,2283,1.7557,0.6724,real Answers
Suisun City,Solano County,2003,1049,1381,0.5537,0.1764,real Answers
San Rafael,Marin County,1995,907,1547,0.0298,0.0101,real Answers
San Mateo,San Mateo County,1997,1110,1789,0.2282,0.1386,real Answers
Tiburon,Marin County,2007,1928,2308,0.3985,-0.0375,real Answers
Pacifica,San Mateo County,2010,1585,1802,0.9045,0.2450,real Answers
Fremont,Alameda County,2005,1187,1514,0.6357,0.1999,real Answers
Union City,Alameda County,1997,934,1506,0.2264,0.1370,real Answers
Fairfield,Solano County,2011,1107,1226,0.6721,0.0654,real Answers
Gilroy,Santa Clara County,2015,2032,2032,1.9030,0.6695,real Answers
Pinole,Contra Costa County,2002,1175,1574,0.7669,0.3614,real Answers
Pittsburg,Contra Costa County,2011,1055,1168,0.6161,0.0297,real Answers
Millbrae,San Mateo County,1995,1011,1724,0.0157,-0.0037,real Answers
Petaluma,Sonoma County,2006,1289,1594,0.7784,0.2641,real Answers
